period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2016/12,AJ네트웍스,095570,도로와철도운송,220,20813.2,3454.2,487.6,327.6,1124.8,,229.2,1285.0,,17359.0,15581.5,555.7,234.9,551.3,,64.5,371.1,16538.3,9923.6,,3977.1,4340.8,125.5,1303.6,,79.0,,,97.7,6614.7,3351.1,2663.8,530.1,2.7,,67.0,,14543.7,13236.8,430.7,4274.9,2800.1,468.2,,1038.3,-220.6,1480.9
2017/12,AJ네트웍스,095570,도로와철도운송,220,23542.3,3188.8,544.9,197.4,1293.3,,379.1,774.0,,20353.6,3320.6,699.8,8.1,15584.2,,115.7,625.1,19070.6,12077.4,,4914.3,5355.9,80.4,1484.4,,41.6,,,200.9,6993.2,3693.6,2403.4,708.6,93.7,10.2,83.7,,16367.1,15565.4,526.8,4471.7,2887.8,468.2,,1038.3,-220.6,1602.8
2018/12,AJ네트웍스,095570,도로와철도운송,220,25751.4,15120.7,514.6,511.3,914.4,,202.7,535.1,12433.1,10630.7,2450.6,794.8,19.0,6813.8,,86.2,466.2,20833.3,16090.7,,2576.8,3121.9,17.3,927.8,,16.7,,,81.0,4742.6,1889.2,2542.1,40.2,85.8,30.8,154.4,,10130.1,9266.6,385.8,4918.1,2870.9,468.2,,1058.8,-220.6,1571.7
2019/12,AJ네트웍스,095570,도로와철도운송,220,18032.6,5010.6,586.3,641.8,1113.5,,370.4,1229.9,222.6,13022.0,2728.2,838.7,29.7,1481.7,,197.9,7745.9,14559.1,7968.4,,2914.7,2945.6,263.8,1020.6,,631.4,,,182.8,6590.8,1665.2,3584.1,1202.6,72.7,27.0,9.8,9.4,12517.2,9961.6,651.0,3473.4,3184.8,468.2,,1006.7,-247.2,1987.7
2020/12,AJ네트웍스,095570,도로와철도운송,220,15881.7,3546.9,336.6,244.5,912.0,,254.2,698.1,1061.3,12334.8,2295.6,417.4,143.9,1280.6,20.7,220.6,7956.0,13001.6,7089.0,,2626.7,2644.1,357.7,867.7,43.8,10.3,,,58.3,5912.7,2434.5,2090.2,1260.5,60.7,12.8,27.6,9.5,11318.9,10418.2,427.6,2880.1,2850.9,468.2,,1006.0,-315.1,1806.3
2021/12,AJ네트웍스,095570,도로와철도운송,220,13550.4,2739.1,197.4,223.7,960.7,,422.8,852.3,,10811.3,1776.8,279.4,235.9,1390.1,1.9,25.4,7101.8,9925.3,5251.8,,1132.9,2954.0,151.6,780.2,19.8,149.7,,,63.5,4673.6,1976.7,2232.9,374.0,28.9,5.5,33.4,8.0,8718.0,7705.3,457.2,3625.1,3615.0,468.2,,1005.9,-346.0,2479.2
2022/12(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,AK홀딩스,006840,화학,140,27419.5,11798.6,1978.6,2179.2,2890.3,,866.8,3883.7,,15620.9,9585.4,1636.8,1015.6,1980.0,1149.9,222.1,31.2,17305.3,13147.7,,3619.8,1489.2,3.2,5933.6,116.2,469.0,,,1516.6,4157.6,,2080.7,352.5,551.1,647.1,330.4,34.5,7540.2,1631.1,730.9,10114.2,6204.3,662.4,,2540.9,-101.1,3034.8
2017/12,AK홀딩스,006840,화학,140,29447.8,12184.8,2177.8,2761.7,3080.5,,860.9,3303.8,,17263.0,11030.2,1500.6,1015.6,2055.8,1415.4,217.6,27.8,17927.2,13075.9,,3406.2,1425.7,39.1,5941.6,2.9,405.9,,,1854.5,4851.3,,2395.0,387.2,530.2,985.8,351.7,64.0,7600.7,1536.1,2347.2,11520.6,7015.2,662.4,,2485.0,-100.7,3941.0
2018/12,AK홀딩스,006840,화학,140,33979.3,13067.0,2270.3,164.5,2999.3,,1089.2,5114.1,180.2,20912.3,13960.8,1907.9,1095.9,2094.9,1422.0,332.7,98.0,19240.3,13310.3,,4538.4,,123.6,5752.8,15.7,423.7,,,2456.2,5930.0,,2865.6,427.2,570.5,1398.3,371.8,102.1,7806.3,1286.3,3466.8,14739.0,8451.5,662.4,,2907.6,-56.8,4903.2
2019/12,AK홀딩스,006840,화학,140,43279.6,13277.9,2537.1,119.2,3630.7,,1176.9,2848.9,,30001.8,14300.3,2067.1,1175.4,1333.0,1018.0,493.3,9614.7,28980.3,15654.8,,4087.6,2266.8,10.7,6156.6,677.9,263.0,,,2192.1,13325.4,,10171.4,443.9,574.0,1482.4,362.8,64.2,16958.5,11239.8,885.3,14299.4,8272.8,662.4,,2648.9,-55.8,4964.8
2020/12,AK홀딩스,006840,화학,140,41520.9,11852.5,2369.6,125.8,3213.7,,525.1,4052.7,,29668.4,14766.1,2001.8,1136.4,1215.4,531.6,1535.1,8481.9,28894.3,16116.7,,6973.8,2890.0,11.3,4785.7,812.3,157.9,,,485.7,12777.6,,9741.4,355.4,504.0,1287.8,340.4,101.7,19878.8,14279.6,1462.5,12626.6,6877.9,662.4,,2763.5,-55.0,3489.8
