period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2020/06,AJ네트웍스,095570,도로와철도운송,220,-92.4,882.2,,-13.2,959.1,972.3,311.0,2053.0,1597.8,,,,,,,,,,,,,,,,,
2020/09,AJ네트웍스,095570,도로와철도운송,220,22.5,518.8,56.2,550.5,1519.6,969.0,-533.8,2585.3,3119.1,,,,,,,,,,,,,,,,,
2020/12,AJ네트웍스,095570,도로와철도운송,220,422.0,495.5,24.3,-73.4,122.9,196.3,-782.7,1678.0,2464.5,301.7,301.7,-6.1,13.6,67.3,,67.3,1.5,854.8,424.1,403.2,973.7,474.2,,6.4,1590.7,698.1
2021/03,AJ네트웍스,095570,도로와철도운송,220,-44.1,462.6,13.8,-5.2,322.3,327.5,116.9,1924.7,1807.8,2.3,2.3,0.4,,132.5,,132.5,1.1,1056.8,550.0,310.8,1088.2,50.0,,12.4,698.1,795.4
2021/06,AJ네트웍스,095570,도로와철도운송,220,154.0,393.9,10.3,820.5,1014.5,194.0,-877.3,1521.1,2302.8,41.6,41.6,1.8,,42.1,,42.1,2.7,706.6,148.4,651.1,1382.4,440.0,,,795.4,873.7
2021/09,AJ네트웍스,095570,도로와철도운송,220,-166.2,405.0,10.3,1033.0,1311.5,278.4,-602.8,1637.1,2239.8,0.6,0.6,,,150.4,,150.4,18.6,923.4,298.9,414.7,1153.8,400.0,,,873.7,1141.5
2021/12,AJ네트웍스,095570,도로와철도운송,220,-56.9,325.4,9.8,-297.6,142.2,439.7,65.1,1472.3,1407.2,4.5,4.5,,,132.2,,132.2,3.6,625.5,59.6,781.0,742.9,260.0,,,1141.5,852.3
2022/03,AJ네트웍스,095570,도로와철도운송,220,29.9,389.3,9.4,-167.9,85.3,253.2,-12.2,1837.5,1849.8,2.3,2.3,,,84.5,,84.5,2.2,1498.3,159.4,179.3,855.0,550.0,,,852.3,705.7
2022/06,AJ네트웍스,095570,도로와철도운송,220,-230.7,383.7,9.3,92.7,185.7,93.0,42.7,2600.2,2436.6,0.3,0.3,,,59.7,,59.7,9.3,1472.4,119.4,1007.1,1606.5,360.0,7.0,,705.7,619.9
2022/09(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,
