period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2016/12,AK홀딩스,006840,화학,140,3183.1,598.7,96.3,-1286.0,1529.9,2815.8,-742.7,17050.5,17629.7,,,,,,,,,,,,,,,,,
2017/12,AK홀딩스,006840,화학,140,2809.3,686.3,111.5,-2925.1,2564.0,5489.2,-393.2,15174.4,15363.9,200.5,200.5,18.6,,2347.2,,2347.2,72.1,13125.8,,2000.6,13595.6,,1545.4,104.1,3883.7,3303.8
2018/12,AK홀딩스,006840,화학,140,3172.6,810.9,130.5,-2246.0,8811.7,11057.7,899.6,16758.5,15595.4,181.4,181.4,,50.8,3466.8,,3466.8,90.5,13378.2,,1911.2,14853.9,,718.0,0.1,3303.8,5114.1
2019/12,AK홀딩스,006840,화학,140,2741.9,2518.6,136.9,-2193.2,20011.8,22205.1,-2954.9,10369.3,13012.7,37.2,37.2,2.3,,885.3,,885.3,88.3,9976.2,,373.6,9434.3,,1536.1,4.4,5114.1,2848.9
2020/12,AK홀딩스,006840,화학,140,-1917.2,2643.6,157.1,-185.7,8752.9,8938.5,3337.9,17283.3,13690.0,25.2,25.2,6.7,,1462.5,,1462.5,64.5,14198.9,,1816.2,11504.2,,311.4,59.8,2848.9,4052.7
2021/12,AK홀딩스,006840,화학,140,-97.7,2241.5,152.2,-382.4,7368.2,7750.7,1555.3,12621.9,10881.1,274.9,274.9,19.4,0.4,1446.3,,1446.3,45.8,8973.2,,2003.9,9136.2,,101.3,0.1,4052.7,5152.3
2022/12(E),AK홀딩스,006840,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,BGF,027410,백화점과일반상점,198,3319.7,981.8,154.1,-1580.4,45454.1,47034.5,-2247.8,643.2,2588.2,,,,,,,,,,,,,,,,,
2017/12,BGF,027410,백화점과일반상점,198,3841.2,881.7,134.6,-3508.9,57054.9,60563.7,-1185.9,519.1,1308.6,5.7,5.7,6.3,,1746.5,,1746.5,211.2,,,519.1,,,442.6,2.2,1013.9,160.2
2018/12,BGF,027410,백화점과일반상점,198,-292.0,59.4,7.1,294.2,14246.9,13952.7,-37.2,342.9,315.6,0.2,0.2,,200.8,40.1,,40.1,13.0,,,342.9,,,309.2,,160.2,125.3
