period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2020/06,AJ네트웍스,095570,도로와철도운송,220,3063.5,,3063.5,2976.8,86.7,45.0,171.3,97.8,59.1,29.7,29.4
2020/09,AJ네트웍스,095570,도로와철도운송,220,3128.0,,3128.0,3001.7,126.2,6.1,178.0,5.6,-58.5,16.4,-74.9
2020/12,AJ네트웍스,095570,도로와철도운송,220,880.1,,880.1,983.4,-103.3,24.8,98.2,136.6,-64.9,-41.7,-7.8
2021/03,AJ네트웍스,095570,도로와철도운송,220,2561.4,,2561.4,2516.1,45.3,17.9,88.9,11.1,-29.5,13.7,47.8
2021/06,AJ네트웍스,095570,도로와철도운송,220,2613.9,,2613.9,2495.2,118.6,25.0,101.7,43.0,133.6,35.1,145.1
2021/09,AJ네트웍스,095570,도로와철도운송,220,2826.3,,2826.3,2680.1,146.2,21.1,83.5,-2.2,94.8,2.5,570.1
2021/12(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,
2020/06,AK홀딩스,006840,화학,140,5376.0,4449.2,926.8,1620.6,-693.7,18.2,228.3,-134.8,-1031.5,-1.0,-1030.5
2020/09,AK홀딩스,006840,화학,140,6447.7,5137.1,1310.5,1629.2,-318.7,-3.4,214.4,102.4,-425.4,104.0,-529.4
2020/12,AK홀딩스,006840,화학,140,6437.1,5556.8,880.3,1737.6,-857.3,75.2,476.2,154.4,-1122.3,-866.2,-256.0
2021/03,AK홀딩스,006840,화학,140,6828.6,5615.5,1213.1,1608.1,-395.0,124.7,207.6,-164.4,-627.8,-138.2,-489.5
2021/06,AK홀딩스,006840,화학,140,8393.9,6841.5,1552.4,1726.0,-173.6,49.1,213.3,8.0,-267.6,-52.4,-215.3
2021/09,AK홀딩스,006840,화학,140,8323.9,7256.3,1067.6,1714.6,-647.0,117.6,233.4,-209.1,-946.3,-176.7,-769.6
2021/12(E),AK홀딩스,006840,화학,140,,,,,,,,,,,
2020/06,BGF리테일,282330,백화점과일반상점,198,15492.1,12855.8,2636.3,2190.7,445.6,45.9,65.7,16.4,442.2,111.8,330.4
2020/09,BGF리테일,282330,백화점과일반상점,198,16827.3,13900.1,2927.2,2291.1,636.1,52.3,45.2,31.5,674.7,159.7,515.0
2020/12,BGF리테일,282330,백화점과일반상점,198,15562.8,12948.2,2614.7,2259.1,355.5,50.9,58.7,-10.3,337.4,75.8,261.6
2021/03,BGF리테일,282330,백화점과일반상점,198,15012.4,12496.0,2516.3,2300.0,216.3,51.8,61.8,7.6,213.9,55.2,158.7
2021/06,BGF리테일,282330,백화점과일반상점,198,17004.2,14000.0,3004.1,2417.7,586.5,36.8,47.5,29.9,605.7,137.8,467.9
2021/09,BGF리테일,282330,백화점과일반상점,198,18365.6,15164.2,3201.4,2506.4,694.9,28.6,47.0,-33.9,642.6,149.5,493.1
2021/12,BGF리테일,282330,백화점과일반상점,198,17429.5,14380.4,3049.1,2552.4,496.7,38.4,77.4,5.2,462.9,106.2,356.7
2022/03(E),BGF리테일,282330,백화점과일반상점,198,16376.3,,2775.4,,294.5,,,,302.5,,223.0
2020/06,BGF,027410,백화점과일반상점,198,556.5,277.6,278.9,223.9,55.0,44.9,-8.3,0.4,108.5,21.1,87.5
2020/09,BGF,027410,백화점과일반상점,198,492.2,218.3,273.9,158.4,115.5,26.3,-5.3,0.2,147.3,4.7,149.7
2020/12,BGF,027410,백화점과일반상점,198,301.2,243.6,57.7,69.9,-12.2,35.9,54.7,-35.8,-66.8,16.9,-16.5
2021/03,BGF,027410,백화점과일반상점,198,385.8,267.9,117.9,149.3,-31.4,27.5,8.3,0.5,-11.7,18.4,219.5
2021/06,BGF,027410,백화점과일반상점,198,521.2,291.3,230.0,176.5,53.4,22.0,25.7,0.3,50.1,6.4,43.7
2021/09,BGF,027410,백화점과일반상점,198,579.8,327.0,252.7,173.0,79.8,17.1,2.2,0.2,95.0,16.7,78.3
2021/12(E),BGF,027410,백화점과일반상점,198,510.0,,200.0,,20.0,,,,20.0,,20.0
2020/06,BNK금융지주,138930,은행,20,,,,3557.8,2353.6,,,,2433.9,593.6,1840.2
2020/09,BNK금융지주,138930,은행,20,,,,3179.9,1914.0,,,,1909.7,436.2,1473.5
2020/12,BNK금융지주,138930,은행,20,,,,4354.1,1154.7,,,,1050.9,223.7,827.2
2021/03,BNK금융지주,138930,은행,20,,,,3465.2,2627.2,,,,2668.1,632.7,2035.3
2021/06,BNK금융지주,138930,은행,20,,,,3849.1,3739.0,,,,3873.3,1012.2,2861.1
2021/09,BNK금융지주,138930,은행,20,,,,3507.1,3670.5,,,,3860.0,998.4,2861.7
2021/12(E),BNK금융지주,138930,은행,20,,,,,1291.4,,,,1834.2,,961.5
2020/06,BYC,001460,"섬유,의류,신발,호화품",134,469.9,266.0,203.8,119.1,84.8,-0.7,-5.1,19.0,108.1,22.2,86.0
2020/09,BYC,001460,"섬유,의류,신발,호화품",134,368.3,208.3,159.9,101.5,58.4,0.8,16.7,4.2,46.6,23.6,23.0
2020/12,BYC,001460,"섬유,의류,신발,호화품",134,446.1,254.8,191.3,127.7,63.6,5.2,10.5,57.6,120.8,47.7,73.1
