period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2016/12,AJ네트웍스,095570,도로와철도운송,220,12538.8,,12538.8,11920.2,618.6,18.1,442.4,90.0,286.3,115.5,170.8
2017/12,AJ네트웍스,095570,도로와철도운송,220,8439.4,,8439.4,8215.0,224.4,12.8,260.7,32.2,7.9,78.1,206.5
2018/12,AJ네트웍스,095570,도로와철도운송,220,10455.3,,10455.3,10667.6,-212.4,42.9,400.2,67.4,-494.1,62.5,372.7
2019/12,AJ네트웍스,095570,도로와철도운송,220,10002.6,,10002.6,9846.1,156.5,96.2,565.8,1378.3,1070.5,408.2,421.3
2020/12,AJ네트웍스,095570,도로와철도운송,220,10170.5,,10170.5,9941.0,229.5,148.2,582.7,229.2,-22.4,26.1,-33.2
2021/12(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,
2016/12,AK홀딩스,006840,화학,140,29218.3,20017.9,9200.4,7063.7,2136.7,208.3,374.1,-108.4,1940.8,607.5,1333.2
2017/12,AK홀딩스,006840,화학,140,33924.5,23281.8,10642.8,7986.4,2656.4,183.5,413.0,-127.6,2406.8,552.7,1854.1
2018/12,AK홀딩스,006840,화학,140,37111.8,26655.7,10456.1,7759.0,2697.2,395.6,485.7,-51.2,2698.0,631.8,2066.2
2019/12,AK홀딩스,006840,화학,140,37595.4,28324.8,9270.6,7957.2,1313.4,443.7,825.7,-244.0,809.1,235.3,573.8
2020/12,AK홀딩스,006840,화학,140,26199.8,21570.4,4629.4,6844.9,-2215.5,247.7,1304.6,-190.5,-3455.2,-797.5,-2657.8
2021/12(E),AK홀딩스,006840,화학,140,,,,,,,,,,,
2016/12,BGF리테일,282330,백화점과일반상점,198,,,,,,,,,,,
2017/12,BGF리테일,282330,백화점과일반상점,198,9387.4,7695.4,1692.0,1426.8,265.2,29.2,20.3,76.2,350.3,70.4,279.8
2018/12,BGF리테일,282330,백화점과일반상점,198,57758.6,47562.2,10196.4,8301.2,1895.2,155.1,76.9,52.0,2025.4,483.5,1541.9
2019/12,BGF리테일,282330,백화점과일반상점,198,59460.7,48895.6,10565.1,8598.8,1966.2,202.7,203.5,45.3,2010.8,497.0,1513.8
2020/12,BGF리테일,282330,백화점과일반상점,198,61812.7,51295.1,10517.6,8895.5,1622.0,210.1,234.6,33.4,1631.0,403.9,1227.1
2021/12,BGF리테일,282330,백화점과일반상점,198,67811.6,56040.6,11771.0,9776.6,1994.4,155.7,233.7,8.8,1925.2,448.7,1476.4
2022/12(E),BGF리테일,282330,백화점과일반상점,198,73048.8,,12735.5,,2362.4,,,,2376.9,,1806.3
2016/12,BGF,027410,백화점과일반상점,198,860.8,102.5,758.3,678.1,80.2,52.9,51.2,82.0,198.8,33.3,1846.2
2017/12,BGF,027410,백화점과일반상점,198,1243.5,451.5,791.9,682.4,109.5,83.0,20.9,-214.5,-42.9,66.6,34978.8
2018/12,BGF,027410,백화점과일반상점,198,2205.9,1005.1,1200.8,906.1,294.7,118.4,30.6,140.0,522.5,50.5,472.0
2019/12,BGF,027410,백화점과일반상점,198,1333.9,583.5,750.4,486.8,263.6,101.8,14.5,-105.0,245.9,83.3,175.2
2020/12,BGF,027410,백화점과일반상점,198,1543.8,868.3,675.5,529.1,146.4,120.8,70.7,-35.2,161.4,43.9,178.8
2021/12(E),BGF,027410,백화점과일반상점,198,1990.0,,800.0,,120.0,,,,150.0,,360.0
2016/12,BNK금융지주,138930,은행,20,,,,11221.5,7122.8,,,,6884.0,1702.9,5181.1
2017/12,BNK금융지주,138930,은행,20,,,,11376.7,5943.2,,,,5577.5,1327.9,4249.6
2018/12,BNK금융지주,138930,은행,20,,,,12647.4,7498.3,,,,7186.4,1805.0,5381.4
2019/12,BNK금융지주,138930,은행,20,,,,12733.7,8068.8,,,,7933.7,1944.3,5989.5
2020/12,BNK금융지주,138930,은행,20,,,,14367.3,7481.9,,,,7344.2,1718.6,5625.6
2021/12(E),BNK금융지주,138930,은행,20,,,,,11453.4,,,,11781.1,,8811.8
2016/12,BYC,001460,"섬유,의류,신발,호화품",134,2118.6,1443.4,675.1,513.6,161.5,10.2,63.5,99.2,207.5,32.0,175.4
2017/12,BYC,001460,"섬유,의류,신발,호화품",134,1958.2,1264.5,693.7,521.6,172.1,5.1,84.5,3.6,96.2,34.3,61.9
2018/12,BYC,001460,"섬유,의류,신발,호화품",134,1978.6,1240.4,738.2,524.8,213.5,12.3,87.9,54.4,191.8,100.9,90.9
