period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2020/09,마이크로컨텍솔,098120,반도체와반도체장비,202,395.6,96.0,11.0,11.0,11.0,10.0,9.0,,430.0,84.0,346.0,344.0,3.0,42.0,29.0,-6.0,,2.0,28.0,35.0,11.69,10.24,5.58,4.57,24.16,726.78,,,4300.0,1.15,,,,8312766.0,417.4,14.8,,15.42,,,,,4.0,0.3,4758.95
2020/12,마이크로컨텍솔,098120,반도체와반도체장비,202,512.56,112.0,2.0,2.0,-2.0,-1.0,-1.0,,427.0,82.0,345.0,344.0,1.0,42.0,-10.0,8.0,-4.0,4.0,-15.0,31.0,1.93,-1.03,3.32,2.77,23.88,723.8,,,4300.0,1.49,25.0,,-179.86,8312766.0,529.06,1.8,,1.61,,,,,3.9,0.3,6165.94
2021/03,마이크로컨텍솔,098120,반도체와반도체장비,202,477.47,109.0,13.0,13.0,18.0,18.0,18.0,,421.0,60.0,361.0,359.0,1.0,42.0,31.0,5.0,-30.0,10.0,21.0,3.0,12.14,16.42,10.15,8.51,16.65,761.66,,,4487.5,1.33,,,,8312766.0,528.67,21.6,9.94,19.82,,,,,3.9,0.3,5743.82
2021/06,마이크로컨텍솔,098120,반도체와반도체장비,202,646.05,147.0,14.0,14.0,12.0,6.0,6.0,,455.0,88.0,367.0,365.0,2.0,42.0,5.0,-2.0,-3.0,5.0,,4.0,9.68,4.07,9.13,7.47,23.98,775.87,400.0,20.19,4562.5,1.77,,,,8312766.0,694.45,15.9,12.84,10.82,1.39,5800.0,16.15,500.0,4.0,0.4,7771.78
2021/09,마이크로컨텍솔,098120,반도체와반도체장비,202,919.0,167.0,36.0,36.0,39.0,38.0,37.0,,497.0,92.0,404.0,403.0,2.0,42.0,3.0,-22.0,7.0,23.0,-20.0,11.0,21.56,22.52,16.09,13.05,22.78,866.07,750.0,15.32,5037.5,2.28,,,,8312766.0,948.8,43.2,11.5,25.87,1.72,6687.5,14.14,812.5,4.1,0.4,11055.29
2021/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2022/03(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2022/06(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2020/09,스카이이앤엠,131100,화학,140,1052.8,49.0,-32.0,-32.0,-91.0,-91.0,-91.0,,635.0,475.0,160.0,160.0,,34.0,-14.0,58.0,119.0,5.0,-18.0,288.0,-66.08,-185.21,-114.45,-52.53,296.15,415.93,,,2666.67,6.58,,,,6266661.0,947.0,-21.3,,-43.47,,,,,5.2,0.8,16800.02
2020/12,스카이이앤엠,131100,화학,140,993.24,72.0,-21.0,-21.0,-38.0,-38.0,-38.0,,643.0,271.0,372.0,372.0,,43.0,-56.0,-95.0,48.0,7.0,-63.0,175.0,-28.95,-53.11,-85.06,-47.25,73.02,794.01,,,4650.0,2.67,,,,8136481.0,897.64,-27.4,,-38.06,,,,,4.0,0.7,12207.24
2021/03,스카이이앤엠,131100,화학,140,884.08,52.0,-24.0,-24.0,-38.0,-38.0,-38.0,,588.0,244.0,344.0,344.0,,44.0,1.0,-25.0,-8.0,40.0,-40.0,177.0,-45.26,-72.12,-92.51,-47.59,70.87,718.09,,,4300.0,2.57,,,,8256241.0,762.28,-25.6,-4.58,-49.23,,,,,4.6,0.2,10708.02
2021/06,스카이이앤엠,131100,화학,140,774.41,18.0,-42.0,-42.0,-90.0,-90.0,-90.0,,482.0,223.0,259.0,259.0,,44.0,14.0,-26.0,,53.0,-39.0,175.0,-240.4,-511.34,-125.6,-50.48,86.23,522.82,-3212.5,-3.01,3237.5,2.99,,,,8256241.0,634.01,-92.6,-3.8,-514.44,4.05,2387.5,-6.51,-1487.5,5.2,0.1,9379.69
2021/09,스카이이앤엠,131100,화학,140,610.47,26.0,-17.0,-17.0,-1.0,-1.0,-1.0,,728.0,371.0,357.0,357.0,,56.0,4.0,-160.0,218.0,30.0,-26.0,245.0,-65.07,-3.73,-64.74,-24.58,103.84,561.45,-1518.18,-3.66,3245.45,1.71,,,,10740713.0,462.67,4.4,-3.28,16.92,3.63,1527.27,-5.87,-945.45,6.3,0.0,5683.7
2021/12,스카이이앤엠,131100,화학,140,378.0,142.0,-18.0,-18.0,-39.0,-39.0,-39.0,,807.0,399.0,408.0,408.0,,61.0,-6.0,111.0,-163.0,-10.0,4.0,219.0,-12.61,-27.78,-43.23,-23.24,97.84,595.12,-1400.0,-2.25,3400.0,0.93,,,,11642629.0,,,,,1.59,1983.33,-3.74,-841.67,,,3246.69
2022/03(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2022/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2022/09(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2020/09,포스코엠텍,009520,철강,62,1944.12,627.0,26.0,26.0,29.0,23.0,23.0,,1339.0,385.0,953.0,953.0,,208.0,-1.0,-22.0,-1.0,2.0,-3.0,3.0,4.21,3.61,10.48,7.22,40.43,358.16,,,2269.05,2.04,,,,41642703.0,2003.32,33.9,,5.41,,,,,4.5,1.0,4668.57
2020/12,포스코엠텍,009520,철강,62,1918.36,662.0,18.0,18.0,19.0,13.0,13.0,,1303.0,339.0,964.0,964.0,,208.0,-34.0,39.0,-1.0,4.0,-39.0,2.0,2.68,2.01,10.1,7.26,35.17,363.26,,,2295.24,1.99,80.0,,250.07,41642703.0,1981.96,25.6,,3.87,,,,,4.5,1.0,4606.71
2021/03,포스코엠텍,009520,철강,62,3506.58,704.0,27.0,27.0,29.0,23.0,23.0,,1359.0,393.0,966.0,966.0,,208.0,9.0,-26.0,-1.0,4.0,5.0,2.0,3.87,3.23,8.86,6.17,40.73,363.99,,,2300.0,3.63,,,,41642703.0,3552.08,32.0,27.73,4.55,,,,,4.3,1.0,8420.63
2021/06,포스코엠텍,009520,철강,62,3790.08,726.0,29.0,29.0,30.0,23.0,23.0,,1379.0,392.0,987.0,987.0,,208.0,19.0,9.0,-34.0,5.0,14.0,2.0,4.03,3.13,8.49,6.16,39.75,374.2,195.24,46.22,2350.0,3.84,,,,41642703.0,3829.48,34.4,30.42,4.74,1.39,6473.81,37.9,238.1,4.3,1.1,9101.43
2021/09,포스코엠텍,009520,철강,62,3065.0,870.0,52.0,52.0,53.0,42.0,42.0,,1516.0,488.0,1028.0,1028.0,,208.0,53.0,-31.0,-1.0,3.0,50.0,2.0,6.0,4.78,10.13,7.03,47.51,393.95,240.48,30.35,2447.62,2.98,,,,41642703.0,3125.5,57.4,20.92,6.6,1.03,7052.38,24.33,300.0,4.9,1.1,7360.23
2021/12(E),포스코엠텍,009520,철강,62,3188.6,944.0,54.0,,55.0,43.0,43.0,,1550.0,480.0,1070.0,1070.0,,210.0,,,,,,,5.72,4.55,,,44.86,,311.9,24.34,2547.62,2.98,,,,41642703.0,,54.0,,5.72,0.98,7723.81,19.68,385.71,,,7657.04
2022/03(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41642703.0,,,,,,,,,,,
