period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2020/06,AJ네트웍스,095570,도로와철도운송,220,17783.6,4887.2,790.1,,996.5,,201.3,1570.7,157.8,12896.4,2708.8,796.3,35.8,1587.7,,240.6,7527.3,14427.9,7697.4,,3086.2,3300.4,0.4,310.5,,76.3,,,251.3,6730.5,1745.4,3663.1,1158.3,,,10.4,59.8,13715.8,10974.4,238.0,3355.8,3064.8,468.2,,1006.7,-297.6,1893.4
2020/09,AJ네트웍스,095570,도로와철도운송,220,17282.1,4352.8,758.2,581.5,960.3,,234.2,1590.7,177.9,12929.3,2679.0,504.1,58.7,1655.3,,236.9,7795.4,14038.1,7590.2,,2880.7,3426.7,568.6,368.2,,62.1,,,283.9,6447.9,2493.6,2596.1,1308.4,,,9.7,40.1,12604.5,10963.8,360.2,3244.0,2946.3,468.2,,1006.7,-298.4,1808.4
2020/12,AJ네트웍스,095570,도로와철도운송,220,15881.7,3546.9,336.6,244.5,912.0,,254.2,698.1,1061.3,12334.8,2295.6,417.4,143.9,1280.6,20.7,220.6,7956.0,13001.6,7089.0,,2626.7,2644.1,357.7,867.7,,10.3,,,98.5,5912.7,2434.5,2090.2,1255.0,66.1,12.8,27.6,9.5,11318.9,10418.2,427.6,2880.1,2850.9,468.2,,1006.0,-315.1,1806.3
2021/03,AJ네트웍스,095570,도로와철도운송,220,15743.6,4881.5,308.0,2.5,812.7,,211.3,795.4,2396.7,10862.1,2193.0,381.6,189.1,1268.2,,177.1,6653.1,12865.6,8198.3,,2308.0,3056.5,521.0,289.2,,63.6,,,126.9,4667.3,2335.1,1901.1,373.2,,,23.5,14.9,9907.1,8756.7,132.5,2877.9,2850.8,468.2,,1006.0,-327.5,1758.4
2021/06,AJ네트웍스,095570,도로와철도운송,220,13582.1,3214.8,499.2,,810.6,,234.3,873.7,647.3,10367.3,7959.6,369.3,187.2,1325.7,,85.4,440.0,10562.7,6000.6,,1615.5,3278.5,0.2,518.8,,7.2,,,157.1,4562.1,2126.0,1966.6,368.4,,,34.0,14.6,9759.1,8735.7,174.6,3019.4,2987.4,468.2,,1006.0,-327.4,1905.4
2021/09,AJ네트웍스,095570,도로와철도운송,220,13577.2,2855.8,379.9,164.5,903.9,,233.4,1141.5,,10721.5,1826.1,383.5,183.6,1326.6,,53.9,6947.8,9911.4,5453.8,,1371.3,3035.6,333.3,445.9,,116.8,,,150.9,4457.6,2016.2,1991.5,381.2,,,33.3,14.6,8815.8,7641.7,325.0,3665.8,3638.1,468.2,,1005.9,-327.4,2473.8
2021/12(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,AK홀딩스,006840,화학,140,41396.2,11502.1,2639.2,124.7,3287.3,,1117.4,2525.1,,29894.1,14411.3,2036.3,1101.4,1291.5,946.3,647.2,9460.1,29335.2,15828.2,,6249.2,2470.8,65.7,5022.4,789.0,125.5,,,1105.5,13507.0,,10159.8,454.7,540.9,1526.7,355.3,118.7,19328.7,14995.3,629.3,12061.0,7122.0,662.4,,2675.7,-55.4,3780.0
2020/09,AK홀딩스,006840,화학,140,41194.5,11652.0,2488.0,277.6,3826.5,,1071.3,3170.8,,29542.5,14546.5,1997.0,1101.3,1266.4,960.3,635.2,9035.6,28886.4,15939.8,,6235.4,2662.7,37.4,5041.2,800.4,151.7,,,1011.0,12946.6,,9483.8,468.9,543.0,1550.0,357.5,107.7,18838.9,14850.3,1010.4,12308.1,6892.9,662.4,,2768.0,-55.2,3464.7
2020/12,AK홀딩스,006840,화학,140,41520.9,11852.5,2369.6,125.8,3213.7,,525.1,4052.7,,29668.4,14766.1,2001.8,1136.4,1215.4,531.6,1535.1,8481.9,29086.0,16116.7,,6973.8,2890.0,11.3,4785.7,812.3,157.9,,,485.7,12969.3,,9741.4,547.1,504.0,1287.8,340.4,101.7,20070.4,14471.3,1462.5,12435.0,6686.2,662.4,,2763.5,-55.0,3298.1
