BAS_DD,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
2010/01/01,,,
2010/01/02,,,
2010/01/03,,,
2010/01/04,968175378.0,6772120115692.0,983329299755835.0
2010/01/05,1301397874.0,10086389739171.0,981403335039875.0
2010/01/06,1565629025.0,9842779122598.0,990239316379330.0
2010/01/07,1650591350.0,11178736766299.0,978123788091975.0
2010/01/08,1278638156.0,9970359409380.0,984699173111425.0
2010/01/09,,,
2010/01/10,,,
2010/01/11,1288303829.0,9994802079437.0,984027160277375.0
2010/01/12,1312267856.0,8329662037495.0,986423552770080.0
2010/01/13,1297537895.0,8458473142126.0,971701438354740.0
2010/01/14,1310533966.0,9609625721597.0,980735565805525.0
2010/01/15,1339125620.0,9793061401539.0,990316384500645.0
2010/01/16,,,
2010/01/17,,,
2010/01/18,1303538810.0,9544548110358.0,996068756067425.0
2010/01/19,1476456087.0,9665469410661.0,994878697961040.0
2010/01/20,1746917031.0,10950947476507.0,996362710026930.0
2010/01/21,1544283024.0,9313878761259.0,1001511238612195.0
2010/01/22,1602134481.0,9955175782945.0,981499874670770.0
2010/01/23,,,
2010/01/24,,,
2010/01/25,1749201563.0,9731229931248.0,972274639658530.0
2010/01/26,1754047712.0,9466097249410.0,952953277637765.0
2010/01/27,1515245880.0,8982838886936.0,945698430425180.0
2010/01/28,1341093326.0,8104894273239.0,955907026170975.0
2010/01/29,1315340835.0,8126229657703.0,932748904267270.0
2010/01/30,,,
2010/01/31,,,
2010/02/01,1075400077.0,7016225423674.0,935442908502830.0
2010/02/02,1249876121.0,7515072630200.0,930668040017030.0
2010/02/03,1322940394.0,6961906306008.0,942536737469990.0
2010/02/04,1227775846.0,6662423453527.0,943562972968655.0
2010/02/05,1321908132.0,7439792857290.0,914453707991475.0
2010/02/06,,,
2010/02/07,,,
2010/02/08,1275186479.0,6463955790650.0,905460830406210.0
2010/02/09,1284662832.0,6447048172548.0,915288689937490.0
2010/02/10,1229053876.0,6323709305812.0,915080116957335.0
2010/02/11,1133119974.0,6326538158802.0,930982394443780.0
