BAS_DD,IDX_CLSS,IDX_NM,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
2010/01/01,,,,,
2010/01/02,,,,,
2010/01/03,,,,,
2010/01/04,KOSDAQ,코스닥 (외국주포함),671627419,2407524501895,88597708893405
2010/01/05,KOSDAQ,코스닥 (외국주포함),892543817,3255666400835,89502291667245
2010/01/06,KOSDAQ,코스닥 (외국주포함),1139588904,3451762474434,90594196883745
2010/01/07,KOSDAQ,코스닥 (외국주포함),1188188608,3680331619595,90012414178400
2010/01/08,KOSDAQ,코스닥 (외국주포함),898685843,3005286647890,90619043260780
2010/01/09,,,,,
2010/01/10,,,,,
2010/01/11,KOSDAQ,코스닥 (외국주포함),880624041,3042133174744,90934406865475
2010/01/12,KOSDAQ,코스닥 (외국주포함),928512517,2999603073555,90679927374455
2010/01/13,KOSDAQ,코스닥 (외국주포함),935605317,3172398787003,90287906776005
2010/01/14,KOSDAQ,코스닥 (외국주포함),876781004,3389754509345,91656951480880
2010/01/15,KOSDAQ,코스닥 (외국주포함),923221747,3307138096330,93096168933730
2010/01/16,,,,,
2010/01/17,,,,,
2010/01/18,KOSDAQ,코스닥 (외국주포함),882787264,3209533008807,93632392455665
2010/01/19,KOSDAQ,코스닥 (외국주포함),1092077338,3964987541495,93011494498245
2010/01/20,KOSDAQ,코스닥 (외국주포함),1051179683,3660922362725,92161503747850
2010/01/21,KOSDAQ,코스닥 (외국주포함),1000828670,3510315842126,93036031449785
2010/01/22,KOSDAQ,코스닥 (외국주포함),987061646,3259279006600,92740122566895
2010/01/23,,,,,
2010/01/24,,,,,
2010/01/25,KOSDAQ,코스닥 (외국주포함),1164200487,3892773283935,90747821946160
2010/01/26,KOSDAQ,코스닥 (외국주포함),1177099061,3351724532625,88774882989330
2010/01/27,KOSDAQ,코스닥 (외국주포함),1068708076,3222089968085,87973892786340
2010/01/28,KOSDAQ,코스닥 (외국주포함),861481528,2632146781000,88152677323975
2010/01/29,KOSDAQ,코스닥 (외국주포함),841395589,2397205029140,84613172653080
2010/01/30,,,,,
2010/01/31,,,,,
