BAS_DD,IDX_CLSS,IDX_NM,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
20100101,,,,,
20100102,,,,,
20100103,,,,,
20100104,KOSPI,코스피 (외국주포함),296547959,4364595613797,894731590862430
20100105,KOSPI,코스피 (외국주포함),408854057,6830723338336,891901043372630
20100106,KOSPI,코스피 (외국주포함),426040121,6391016648164,899645119495585
20100107,KOSPI,코스피 (외국주포함),462402742,7498405146704,888111373913575
20100108,KOSPI,코스피 (외국주포함),379952313,6965072761490,894080129850645
20100109,,,,,
20100110,,,,,
20100111,KOSPI,코스피 (외국주포함),407679788,6952668904693,893092753411900
20100112,KOSPI,코스피 (외국주포함),383755339,5330058963940,895743625395625
20100113,KOSPI,코스피 (외국주포함),361932578,5286074355123,881413531578735
20100114,KOSPI,코스피 (외국주포함),433752962,6219871212252,889078614324645
20100115,KOSPI,코스피 (외국주포함),415903873,6485923305209,897220215566915
20100116,,,,,
20100117,,,,,
20100118,KOSPI,코스피 (외국주포함),420751546,6335015101551,902436363611760
20100119,KOSPI,코스피 (외국주포함),384378749,5700481869166,901867203462795
20100120,KOSPI,코스피 (외국주포함),695737348,7290025113782,904201206279080
20100121,KOSPI,코스피 (외국주포함),543454354,5803562919133,908475207162410
20100122,KOSPI,코스피 (외국주포함),615072835,6695896776345,888759752103875
20100123,,,,,
20100124,,,,,
20100125,KOSPI,코스피 (외국주포함),585001076,5838456647313,881526817712370
20100126,KOSPI,코스피 (외국주포함),576948651,6114372716785,864178394648435
20100127,KOSPI,코스피 (외국주포함),446537804,5760748918851,857724537638840
20100128,KOSPI,코스피 (외국주포함),479611798,5472747492239,867754348847000
20100129,KOSPI,코스피 (외국주포함),473945246,5729024628563,848135731614190
20100130,,,,,
20100131,,,,,
20100201,KOSPI,코스피 (외국주포함),382241240,5109265157224,849915099147460
20100202,KOSPI,코스피 (외국주포함),434956281,5008804043940,844598368223690
20100203,KOSPI,코스피 (외국주포함),438151639,4459113496818,854639238312685
20100204,KOSPI,코스피 (외국주포함),396780458,4093281370822,855340684064365
