tg_cmp_nb,mv,totalRevenue,operationIncome,controllingNetIncome,period,psr,por,per,m2,gdp
2053,18542441.59999999,6768131.0,511003.0,355558.0,2020/09,,,,31323008.0,19245000.0
2071,22834102.08999999,6921188.0,384098.0,169349.0,2020/12,,,,31998357.0,19245000.0
2110,24482083.34000001,7538172.0,633253.0,602123.0,2021/03,,,,33249208.0,19407000.0
2151,26778298.910000023,7513967.0,668500.0,497683.0,2021/06,0.91,11.91,16.13,34188428.0,19407000.0
2158,25759351.130000006,8172626.0,736551.0,572774.0,2021/09,0.84,10.49,13.82,35036175.0,19407000.0
2199,25542925.720000017,8650216.0,569290.0,356500.0,2021/12,0.79,9.59,12.3,36136876.0,19407000.0
2220,25092953.37999998,9264379.0,721127.0,532447.0,2022/03,0.73,9.15,12.58,36528187.0,20717000.0
2253,21125064.88999997,10090183.0,773511.0,538261.0,2022/06,0.57,7.39,10.35,37029132.0,20717000.0
2252,22335327.0,10793937.0,595884.0,387589.0,2022/09,0.57,8.32,12.2,37314384.0,20717000.0
364,16265211.570000004,6476014.0,263040.0,188287.0,2022/12(E),1.43,26.99,38.25,,
