tg_cmp_nb,mv,totalRevenue,operationIncome,controllingNetIncome,period,psr,por,per,m2,gdp
1763,14015803.209999992,22704946.0,1540136.0,1006034.0,2016/12,0.62,9.1,13.93,24015479.0,16580000.0
1868,17871617.199999988,25022250.0,2024478.0,1467177.0,2017/12,0.71,8.83,12.18,25548437.0,17408000.0
1958,15100424.539999997,26428782.0,2046237.0,1341004.0,2018/12,0.57,7.38,11.26,27128496.0,18357000.0
2035,16656287.069999984,27401383.0,1467983.0,748654.0,2019/12,0.61,11.35,22.25,29224531.0,18982000.0
2124,23095659.239999987,27129062.0,1556353.0,908864.0,2020/12,0.85,14.84,25.41,32322133.0,19245000.0
2221,25858098.19999999,31853528.0,2618544.0,2035412.0,2021/12,0.81,9.87,12.7,36297124.0,19407000.0
2285,20258304.409999974,39898377.0,2304650.0,1637267.0,2022/12,0.51,8.79,12.37,37582355.0,20716580.0
532,19319963.050000004,28593514.0,1486725.0,961762.0,2023/12(E),0.68,12.99,20.09,,
690,20124932.21999998,32381110.0,2563185.0,1767338.0,2024/12(E),0.62,7.85,11.39,,
494,19222949.31,32889949.0,2883656.0,2015015.0,2025/12(E),0.58,6.67,9.54,,
