BAS_DD,IDX_CLSS,IDX_NM,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
20100101,,,,,
20100102,,,,,
20100103,,,,,
20100104,KOSDAQ,코스닥 (외국주포함),671627419,2407524501895,88597708893405
20100105,KOSDAQ,코스닥 (외국주포함),892543817,3255666400835,89502291667245
20100106,KOSDAQ,코스닥 (외국주포함),1139588904,3451762474434,90594196883745
20100107,KOSDAQ,코스닥 (외국주포함),1188188608,3680331619595,90012414178400
20100108,KOSDAQ,코스닥 (외국주포함),898685843,3005286647890,90619043260780
20100109,,,,,
20100110,,,,,
20100111,KOSDAQ,코스닥 (외국주포함),880624041,3042133174744,90934406865475
20100112,KOSDAQ,코스닥 (외국주포함),928512517,2999603073555,90679927374455
20100113,KOSDAQ,코스닥 (외국주포함),935605317,3172398787003,90287906776005
20100114,KOSDAQ,코스닥 (외국주포함),876781004,3389754509345,91656951480880
20100115,KOSDAQ,코스닥 (외국주포함),923221747,3307138096330,93096168933730
20100116,,,,,
20100117,,,,,
20100118,KOSDAQ,코스닥 (외국주포함),882787264,3209533008807,93632392455665
20100119,KOSDAQ,코스닥 (외국주포함),1092077338,3964987541495,93011494498245
20100120,KOSDAQ,코스닥 (외국주포함),1051179683,3660922362725,92161503747850
20100121,KOSDAQ,코스닥 (외국주포함),1000828670,3510315842126,93036031449785
20100122,KOSDAQ,코스닥 (외국주포함),987061646,3259279006600,92740122566895
20100123,,,,,
20100124,,,,,
20100125,KOSDAQ,코스닥 (외국주포함),1164200487,3892773283935,90747821946160
20100126,KOSDAQ,코스닥 (외국주포함),1177099061,3351724532625,88774882989330
20100127,KOSDAQ,코스닥 (외국주포함),1068708076,3222089968085,87973892786340
20100128,KOSDAQ,코스닥 (외국주포함),861481528,2632146781000,88152677323975
20100129,KOSDAQ,코스닥 (외국주포함),841395589,2397205029140,84613172653080
20100130,,,,,
20100131,,,,,
20100201,KOSDAQ,코스닥 (외국주포함),693158837,1906960266450,85527809355370
20100202,KOSDAQ,코스닥 (외국주포함),814919840,2506268586260,86069671793340
