shareCode,shareName,shareNameEn,marketType,shareType
098120,마이크로컨텍솔,Micro Contact Solution Co.Ltd.,KOSDAQ,보통주
131100,스카이이앤엠,SKY E&M Co. Ltd.,KOSDAQ,보통주
009520,포스코엠텍,POSCO M-TECH CO.LTD.,KOSDAQ,보통주
058820,CMG제약,CMG Pharmaceutical Co. Ltd.,KOSDAQ,보통주
050120,ES큐브,ES CUBE,KOSDAQ,보통주
024120,KB오토시스,KB Autosys Co.Ltd,KOSDAQ,보통주
044180,KD,KD Corporation,KOSDAQ,보통주
950110,SBI핀테크솔루션즈,SBI FinTech Solutions Co. Ltd.,KOSDAQ,보통주
079940,가비아,GABIA Inc.,KOSDAQ,보통주
078890,가온미디어,KAON Media Co. Ltd.,KOSDAQ,보통주
036620,감성코퍼레이션,GAMSUNG Corporation,KOSDAQ,보통주
217730,강스템바이오텍,KANGSTEM BIOTECH CO. LTD.,KOSDAQ,보통주
114190,강원에너지,KANGWON ENERGY,KOSDAQ,보통주
094480,갤럭시아머니트리,GalaxiaMoneytree Co.Ltd.,KOSDAQ,보통주
063080,게임빌,GAMEVIL. INC,KOSDAQ,보통주
039240,경남스틸,Kyeong Nam Steel Co. LTD,KOSDAQ,보통주
053950,경남제약,KYUNG NAM PHARM.CO.LTD.,KOSDAQ,보통주
223310,경남제약헬스케어,KYUNG NAM PHARM HEALTH CARE CO. LTD.,KOSDAQ,보통주
011040,경동제약,KyungdongPharm,KOSDAQ,보통주
024910,경창산업,KyungchangIndustrial,KOSDAQ,보통주
198440,고려시멘트,KOREA CEMENT co. Ltd.,KOSDAQ,보통주
049720,고려신용정보,KORYO CREDIT INFORMATION CO. LTD.,KOSDAQ,보통주
014570,고려제약,KOREAN DRUG CO. LTD.,KOSDAQ,보통주
348150,고바이오랩,KoBioLabs Inc,KOSDAQ,보통주
098460,고영,Koh Young Technology Inc.,KOSDAQ,보통주
035290,골드앤에스,Gold&S,KOSDAQ,보통주
038530,골드퍼시픽,Gold Pacific Co.Ltd,KOSDAQ,보통주
215000,골프존,GOLFZON Co. Ltd.,KOSDAQ,보통주
121440,골프존뉴딘홀딩스,GOLFZON NEWDIN HOLDINGS Co. Ltd.,KOSDAQ,보통주
014200,광림,KANGLIM Co. LTD.,KOSDAQ,보통주
026910,광진실업,KwangjinInd,KOSDAQ,보통주
090150,광진윈텍,KWANGJIN WINTEC CO. LTD,KOSDAQ,보통주
355150,교보10호스팩,Kyobo 10 Special Purpose Acquisition Company,KOSDAQ,보통주
331520,교보9호스팩,Kyobo 9 Special Purpose Acquisition Company,KOSDAQ,보통주
053270,구영테크,GUYOUNGTECHNOLOGY COMPANY LIMITED,KOSDAQ,보통주
066620,국보디자인,KUKBO DESIGN,KOSDAQ,보통주
