period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2020/09,마이크로컨텍솔,098120,반도체와반도체장비,202,395.6,96.0,11.0,11.0,11.0,10.0,9.0,0.0,430.0,84.0,346.0,344.0,3.0,42.0,29.0,-6.0,0.0,2.0,28.0,35.0,11.69,10.24,5.58,4.57,24.16,726.78,,,4300.0,1.15,0.0,,0.0,8312766.0,417.4,,,,,,,
2020/12,마이크로컨텍솔,098120,반도체와반도체장비,202,512.56,112.0,2.0,2.0,-2.0,-1.0,-1.0,0.0,427.0,82.0,345.0,344.0,1.0,42.0,-10.0,8.0,-4.0,4.0,-15.0,31.0,1.93,-1.03,3.32,2.77,23.88,723.8,,,4300.0,1.49,25.0,,-179.86,8312766.0,529.06,,,,,,,
2021/03,마이크로컨텍솔,098120,반도체와반도체장비,202,477.47,109.0,13.0,13.0,18.0,18.0,18.0,0.0,421.0,60.0,361.0,359.0,1.0,42.0,31.0,5.0,-30.0,10.0,21.0,3.0,12.14,16.42,10.15,8.51,16.65,761.66,,,4487.5,1.33,,,0.0,8312766.0,528.67,53.2,9.94,,,,,
2021/06,마이크로컨텍솔,098120,반도체와반도체장비,202,646.05,147.0,14.0,14.0,12.0,6.0,6.0,0.0,455.0,88.0,367.0,365.0,2.0,42.0,5.0,-2.0,-3.0,5.0,0.0,4.0,9.68,4.07,9.13,7.47,23.98,775.87,,20.19,,1.77,,,,,694.45,54.1,12.84,11.66,1.39,,16.15,
2021/09,마이크로컨텍솔,098120,반도체와반도체장비,202,1064.0,167.0,36.0,36.0,39.0,38.0,37.0,0.0,497.0,92.0,404.0,403.0,2.0,42.0,3.0,-22.0,7.0,23.0,-20.0,11.0,21.56,22.52,16.09,13.05,22.78,866.07,,17.73,,2.64,,,0.0,,1093.8,82.5,13.26,15.42,1.99,,16.37,
2021/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,스카이이앤엠,131100,화학,140,1052.8,49.0,-32.0,-32.0,-91.0,-91.0,-91.0,,635.0,475.0,160.0,160.0,,34.0,-14.0,58.0,119.0,5.0,-18.0,288.0,-66.08,-185.21,-114.45,-52.53,296.15,415.93,,,2666.67,6.58,0.0,,0.0,6266661.0,947.0,,,,,,,
2020/12,스카이이앤엠,131100,화학,140,993.24,72.0,-21.0,-21.0,-38.0,-38.0,-38.0,,643.0,271.0,372.0,372.0,,43.0,-56.0,-95.0,48.0,7.0,-63.0,175.0,-28.95,-53.11,-85.06,-47.25,73.02,794.01,,,4650.0,2.67,0.0,,0.0,8136481.0,897.64,,,,,,,
2021/03,스카이이앤엠,131100,화학,140,884.08,52.0,-24.0,-24.0,-38.0,-38.0,-38.0,,588.0,244.0,344.0,344.0,,44.0,1.0,-25.0,-8.0,40.0,-40.0,177.0,-45.26,-72.12,-92.51,-47.59,70.87,718.09,,,4300.0,2.57,0.0,,0.0,8256241.0,762.28,-166.5,-4.58,,,,,
2021/06,스카이이앤엠,131100,화학,140,774.41,18.0,-42.0,-42.0,-90.0,-90.0,-90.0,,482.0,223.0,259.0,259.0,,44.0,14.0,-26.0,0.0,53.0,-39.0,175.0,-240.4,-511.34,-125.6,-50.48,86.23,522.82,-3212.5,-3.01,3237.5,2.99,0.0,,0.0,8256241.0,634.01,-166.9,-3.8,-87.38,4.05,2387.5,-6.51,-1487.5
2021/09,스카이이앤엠,131100,화학,140,470.0,26.0,-17.0,-17.0,-1.0,-1.0,-1.0,,728.0,371.0,357.0,357.0,,56.0,4.0,-160.0,218.0,30.0,-26.0,245.0,-65.07,-3.73,-64.74,-24.58,103.84,561.45,-1518.18,-2.81,3245.45,1.32,0.0,,0.0,10740713.0,322.2,-141.2,-2.28,-84.05,2.8,1527.27,-4.52,-945.45
2021/12(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,포스코엠텍,009520,철강,62,1944.12,627.0,26.0,26.0,29.0,23.0,23.0,,1339.0,385.0,953.0,953.0,,208.0,-1.0,-22.0,-1.0,2.0,-3.0,3.0,4.21,3.61,10.48,7.22,40.43,358.16,,,2269.05,2.04,0.0,,0.0,41642703.0,2003.32,,,,,,,
2020/12,포스코엠텍,009520,철강,62,1918.36,662.0,18.0,18.0,19.0,13.0,13.0,,1303.0,339.0,964.0,964.0,,208.0,-34.0,39.0,-1.0,4.0,-39.0,2.0,2.68,2.01,10.1,7.26,35.17,363.26,,,2295.24,1.99,80.0,,250.07,41642703.0,1981.96,,,,,,,
2021/03,포스코엠텍,009520,철강,62,3506.58,704.0,27.0,27.0,29.0,23.0,23.0,,1359.0,393.0,966.0,966.0,,208.0,9.0,-26.0,-1.0,4.0,5.0,2.0,3.87,3.23,8.86,6.17,40.73,363.99,,,2300.0,3.63,,,,41642703.0,3552.08,128.1,27.73,,,,,
2021/06,포스코엠텍,009520,철강,62,3790.08,726.0,29.0,29.0,30.0,23.0,23.0,,1379.0,392.0,987.0,987.0,,208.0,19.0,9.0,-34.0,5.0,14.0,2.0,4.03,3.13,8.49,6.16,39.75,374.2,,46.22,,3.84,,,,,3829.48,125.9,30.42,4.63,1.39,,37.9,
2021/09,포스코엠텍,009520,철강,62,3002.0,870.0,52.0,52.0,53.0,42.0,42.0,,1516.0,488.0,1028.0,1028.0,,208.0,53.0,-31.0,-1.0,3.0,50.0,2.0,6.0,4.78,10.13,7.03,47.51,393.95,,29.72,,2.92,,,0.0,,3062.5,149.4,20.5,5.04,1.01,,23.83,
2021/12(E),포스코엠텍,009520,철강,62,3006.7,944.0,54.0,,55.0,43.0,43.0,,1550.0,480.0,1070.0,1070.0,,210.0,,,,,,,5.72,4.55,,,44.86,,,22.95,,2.81,,,,,,,,,0.93,,18.56,
2022/03(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,CMG제약,058820,제약,35,6158.88,171.0,7.0,7.0,7.0,6.0,6.0,,2031.0,198.0,1833.0,1833.0,,694.0,49.0,-113.0,-1.0,31.0,17.0,6.0,3.82,3.33,1.66,1.52,10.8,162.31,,,1318.71,3.36,,,0.0,138892244.0,6202.48,,,,,,,
2020/12,CMG제약,058820,제약,35,8022.73,169.0,5.0,5.0,-22.0,-25.0,-25.0,,1954.0,142.0,1811.0,1811.0,,694.0,-48.0,80.0,-1.0,3.0,-52.0,5.0,2.94,-14.59,0.12,0.11,7.85,159.04,,,1302.88,4.43,,,0.0,138892244.0,8098.13,,,,,,,
2021/03,CMG제약,058820,제약,35,6083.91,158.0,1.0,1.0,13.0,13.0,13.0,,1957.0,130.0,1827.0,1827.0,,694.0,8.0,7.0,-1.0,1.0,6.0,8.0,0.8,8.19,0.16,0.15,7.12,161.23,,,1314.39,3.33,,,,138892244.0,6169.31,28.6,215.71,,,,,
