period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum
2016/12,마이크로컨텍솔,098120,반도체와반도체장비,202,572.46,272.0,-6.0,-6.0,-5.0,-2.0,-2.0,-1.0,447.0,37.0,410.0,406.0,4.0,42.0,-2.0,2.0,-10.0,19.0,-21.0,7.0,-2.38,-0.92,-0.41,-0.54,9.1,877.37,-20.0,,4885.0,1.41,20.0,0.29,-98.02,8312766.0
2017/12,마이크로컨텍솔,098120,반도체와반도체장비,202,392.69,270.0,-18.0,-18.0,-42.0,-39.0,-36.0,-3.0,413.0,44.0,369.0,367.0,2.0,42.0,17.0,-16.0,-2.0,7.0,10.0,6.0,-6.61,-14.28,-9.25,-8.96,11.79,783.2,-430.0,,4414.0,1.07,,,,8312766.0
2018/12,마이크로컨텍솔,098120,반도체와반도체장비,202,197.78,257.0,-35.0,-35.0,-49.0,-45.0,-44.0,-1.0,358.0,39.0,319.0,319.0,,42.0,-18.0,7.0,,14.0,-32.0,5.0,-13.76,-17.51,-12.82,-11.67,12.12,667.94,-529.0,,3841.0,0.62,,,,8312766.0
2019/12,마이크로컨텍솔,098120,반도체와반도체장비,202,403.82,344.0,6.0,6.0,7.0,8.0,9.0,-1.0,380.0,47.0,334.0,331.0,3.0,42.0,2.0,8.0,-2.0,3.0,-1.0,6.0,1.8,2.41,2.77,2.25,14.0,696.42,108.0,44.81,3983.0,1.22,,,,8312766.0
2020/12,마이크로컨텍솔,098120,반도체와반도체장비,202,512.56,393.0,17.0,17.0,14.0,11.0,11.0,,427.0,82.0,345.0,344.0,1.0,42.0,24.0,-33.0,24.0,8.0,16.0,31.0,4.21,2.85,3.32,2.77,23.88,723.8,135.0,45.82,4134.0,1.49,25.0,0.41,18.56,8312766.0
2021/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766 
2022/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766 
2023/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766 
2017/12,스카이이앤엠,131100,화학,140,211.68,240.0,-44.0,-44.0,-85.0,-96.0,-96.0,,303.0,249.0,54.0,54.0,,95.0,-32.0,139.0,-103.0,7.0,-39.0,178.0,-18.48,-39.86,-113.22,-23.3,462.01,-45.7,-5566.0,,2831.0,3.92,,,,1907229.0
2018/12,스카이이앤엠,131100,화학,140,901.44,417.0,5.0,5.0,-131.0,-131.0,-130.0,,526.0,213.0,313.0,313.0,,23.0,-103.0,-49.0,203.0,4.0,-107.0,96.0,1.14,-31.28,-71.16,-31.48,68.28,1313.54,-3482.0,,6865.0,2.88,,,,4553965.0
2019/06,스카이이앤엠,131100,화학,140,1135.65,157.0,-27.0,-27.0,-81.0,-72.0,-72.0,,489.0,154.0,335.0,335.0,,27.0,-30.0,-25.0,69.0,1.0,-31.0,82.0,-17.17,-45.98,-22.22,-14.21,45.84,1190.65,-1572.0,,6195.0,3.39,,,,5408666.0
2020/06,스카이이앤엠,131100,화학,140,625.14,223.0,-149.0,-149.0,-252.0,-251.0,-248.0,-2.0,537.0,386.0,151.0,151.0,,29.0,-72.0,-221.0,233.0,78.0,-150.0,269.0,-66.98,-112.45,-102.21,-48.84,255.99,462.91,-4265.0,,2579.0,4.14,,,,5853817.0
2021/06,스카이이앤엠,131100,화학,140,774.41,191.0,-119.0,-119.0,-257.0,-257.0,-257.0,,482.0,223.0,259.0,259.0,,44.0,-55.0,-89.0,160.0,105.0,-160.0,175.0,-62.42,-134.38,-125.6,-50.48,86.23,522.82,-2690.0,,2424.0,2.99,,,,8256241.0
2022/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629 
2023/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629 
2024/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629 
2016/12,포스코엠텍,009520,철강,62,1274.88,2665.0,140.0,140.0,58.0,31.0,31.0,,1615.0,847.0,768.0,768.0,,208.0,326.0,-132.0,-432.0,8.0,317.0,531.0,5.24,1.17,4.06,1.71,110.22,269.03,75.0,40.91,1845.0,1.66,25.0,0.82,33.37,41642703.0
2017/12,포스코엠텍,009520,철강,62,951.05,2578.0,122.0,122.0,124.0,99.0,99.0,,1429.0,602.0,827.0,827.0,,208.0,93.0,11.0,-120.0,13.0,81.0,271.0,4.72,3.83,12.39,6.49,72.79,297.34,237.0,9.65,1985.0,1.15,75.0,3.28,31.61,41642703.0
2018/12,포스코엠텍,009520,철강,62,2737.3,3010.0,190.0,190.0,181.0,141.0,141.0,,1227.0,345.0,883.0,883.0,,208.0,98.0,209.0,-302.0,12.0,86.0,,6.31,4.69,16.5,10.62,39.07,324.12,339.0,19.4,2119.0,3.1,80.0,1.22,23.62,41642703.0
2019/12,포스코엠텍,009520,철강,62,1989.0,2887.0,131.0,131.0,139.0,106.0,106.0,,1290.0,391.0,900.0,900.0,,208.0,80.0,-51.0,-36.0,17.0,63.0,4.0,4.52,3.66,11.87,8.4,43.41,332.33,254.0,18.82,2160.0,2.21,80.0,1.67,31.5,41642703.0
2020/12,포스코엠텍,009520,철강,62,1918.36,2554.0,116.0,116.0,124.0,94.0,94.0,,1303.0,339.0,964.0,964.0,,208.0,126.0,-38.0,-37.0,11.0,116.0,2.0,4.55,3.68,10.1,7.26,35.17,363.26,226.0,20.4,2315.0,1.99,80.0,1.74,35.4,41642703.0
2021/12(E),포스코엠텍,009520,철강,62,2878.3,3244.0,162.0,,167.0,130.0,130.0,,1550.0,480.0,1070.0,1070.0,,210.0,70.0,-70.0,-30.0,20.0,,,4.99,4.01,12.78,9.11,44.86,,312.0,22.1,2569.0,2.69,80.0,1.16,25.63,41642703 
2022/12(E),포스코엠텍,009520,철강,62,2870.2,3420.0,119.0,,124.0,96.0,100.0,,1570.0,440.0,1130.0,1130.0,,210.0,150.0,-120.0,-30.0,20.0,,,3.48,2.81,9.09,6.15,38.94,,240.0,28.73,2714.0,2.54,80.0,1.16,33.31,41642703 
2023/12(E),포스코엠텍,009520,철강,62,2868.0,3490.0,120.0,,130.0,100.0,100.0,,1650.0,450.0,1200.0,1200.0,,210.0,120.0,-90.0,-30.0,20.0,,,3.44,2.86,8.58,6.21,37.5,,240.0,28.73,2882.0,2.39,80.0,1.16,33.31,41642703 
2016/12,CMG제약,058820,제약,35,3539.77,330.0,7.0,7.0,7.0,8.0,8.0,,1048.0,99.0,949.0,949.0,,544.0,23.0,-551.0,524.0,8.0,15.0,,2.23,2.5,1.16,1.02,10.4,74.23,8.0,384.9,812.0,3.73,,,,116869068.0
2017/12,CMG제약,058820,제약,35,6960.69,415.0,16.0,16.0,29.0,28.0,28.0,,1096.0,116.0,979.0,979.0,,544.0,19.0,-5.0,2.0,8.0,12.0,,3.75,6.83,2.94,2.65,11.87,79.69,24.0,245.56,837.0,7.11,,,,117062582.0
2018/12,CMG제약,058820,제약,35,4732.0,499.0,26.0,26.0,37.0,61.0,61.0,,1144.0,104.0,1040.0,1040.0,,544.0,9.0,88.0,,25.0,-17.0,,5.15,12.16,6.01,5.42,10.0,90.18,52.0,77.95,888.0,4.55,,,,117062582.0
2019/12,CMG제약,058820,제약,35,5910.56,586.0,26.0,26.0,38.0,31.0,31.0,,1922.0,121.0,1802.0,1802.0,,694.0,28.0,-706.0,729.0,82.0,-54.0,3.0,4.44,5.21,2.15,1.99,6.71,158.2,24.0,175.07,1297.0,3.28,,,,138892244.0
2020/12,CMG제약,058820,제약,35,8022.73,645.0,18.0,18.0,6.0,2.0,2.0,,1954.0,142.0,1811.0,1811.0,,694.0,29.0,-130.0,-5.0,70.0,-40.0,5.0,2.83,0.33,0.12,0.11,7.85,159.04,2.0,3734.0,1304.0,4.43,,,,138892244.0
2021/12(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244 
2022/12(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244 
2023/12(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244 
2016/12,ES큐브,050120,기타금융,183,709.83,343.0,22.0,22.0,217.0,215.0,217.0,-2.0,1052.0,335.0,717.0,717.0,,208.0,12.0,-230.0,378.0,58.0,-45.0,298.0,6.3,62.82,38.07,26.8,46.68,246.27,2732.0,3.12,8613.0,0.99,,,,8324305.0
2017/12,ES큐브,050120,기타금융,183,859.04,357.0,22.0,22.0,18.0,17.0,17.0,,1059.0,331.0,728.0,728.0,,416.0,23.0,-68.0,-13.0,27.0,-4.0,286.0,6.29,4.86,2.4,1.65,45.42,76.88,209.0,49.33,8748.0,1.18,,,,8324305.0
